mmsi,timestamp,lat,lon,speed_knots,heading
419001001,2026-08-24T18:00:00Z,18.82,72.30,12,70
419001001,2026-08-24T19:00:00Z,18.78,72.32,12,70
419001001,2026-08-24T20:00:00Z,18.74,72.34,12,70
419001001,2026-08-24T21:00:00Z,18.70,72.36,12,70
419001001,2026-08-24T22:00:00Z,18.66,72.38,12,70

419001002,2026-08-24T18:00:00Z,18.95,72.55,14,250
419001002,2026-08-24T19:00:00Z,18.91,72.58,14,250
419001002,2026-08-24T20:00:00Z,18.87,72.61,14,250
419001002,2026-08-24T21:00:00Z,18.83,72.64,14,250
419001002,2026-08-24T22:00:00Z,18.79,72.67,14,250

419001003,2026-08-24T18:00:00Z,18.70,72.60,48,90
419001003,2026-08-24T20:00:00Z,18.60,72.68,48,90
419001003,2026-08-24T21:00:00Z,18.55,72.72,48,90
419001003,2026-08-24T22:00:00Z,18.50,72.76,48,90

419001004,2026-08-24T18:00:00Z,19.20,72.20,11,180
419001004,2026-08-24T19:00:00Z,19.10,72.20,11,180
419001004,2026-08-24T20:00:00Z,19.00,72.20,11,180
419001004,2026-08-24T21:00:00Z,18.90,72.20,11,180
419001004,2026-08-24T22:00:00Z,18.80,72.20,11,180
